catalog_index,sprite_name,category,asset_path,source_type
1,Button01_l_Blue,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Blue.png,png
2,Button01_l_DarkGray,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_DarkGray.png,png
3,Button01_l_Gray,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Gray.png,png
4,Button01_l_Green,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Green.png,png
5,Button01_l_Mint,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Mint.png,png
6,Button01_l_Pink,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Pink.png,png
7,Button01_l_Purple,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Purple.png,png
8,Button01_l_Red,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Red.png,png
9,Button01_l_Sky,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Sky.png,png
10,Button01_l_White_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_White_Bg.png,png
11,Button01_l_White_Light1,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_White_Light1.png,png
12,Button01_l_White_Light2,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_White_Light2.png,png
13,Button01_l_Yellow,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_l_Yellow.png,png
14,Button01_s_Blue,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Blue.png,png
15,Button01_s_DarkGray,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_DarkGray.png,png
16,Button01_s_Flat,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Flat.png,png
17,Button01_s_Gray,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Gray.png,png
18,Button01_s_Green,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Green.png,png
19,Button01_s_Mint,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Mint.png,png
20,Button01_s_PInk,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_PInk.png,png
21,Button01_s_Purple,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Purple.png,png
22,Button01_s_Red,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Red.png,png
23,Button01_s_Sky,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Sky.png,png
24,Button01_s_White_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_White_Bg.png,png
25,Button01_s_White_Light1,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_White_Light1.png,png
26,Button01_s_White_Light2,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_White_Light2.png,png
27,Button01_s_Yellow,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button01_s_Yellow.png,png
28,Button_Circle118,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle118.png,png
29,Button_Circle120,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle120.png,png
30,Button_Circle122,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle122.png,png
31,Button_Circle74_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle74_Bg.png,png
32,Button_Circle74_Border,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle74_Border.png,png
33,Button_Circle82,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Circle82.png,png
34,Button_LeftFlush_Dark,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_LeftFlush_Dark.png,png
35,Button_LeftFlush_White1,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_LeftFlush_White1.png,png
36,Button_LeftFlush_White2,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_LeftFlush_White2.png,png
37,Button_Round01_White_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round01_White_Bg.png,png
38,Button_Round01_White_Light1,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round01_White_Light1.png,png
39,Button_Round01_White_Light2,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round01_White_Light2.png,png
40,Button_Round01_Yellow,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round01_Yellow.png,png
41,Button_Round02_Blue,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round02_Blue.png,png
42,Button_Round02_White_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round02_White_Bg.png,png
43,Button_Round02_White_Light,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round02_White_Light.png,png
44,Button_Round03_Dark,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round03_Dark.png,png
45,Button_Round03_White_Light,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round03_White_Light.png,png
46,Button_Round03_WhiteBg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round03_WhiteBg.png,png
47,Button_Round04_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round04_Bg.png,png
48,Button_Round04_Oblique,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round04_Oblique.png,png
49,Button_Round05,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round05.png,png
50,Button_Round06_Red,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round06_Red.png,png
51,Button_Round06_White,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round06_White.png,png
52,Button_Round07,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round07.png,png
53,Button_Round08,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round08.png,png
54,Button_Round09,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round09.png,png
55,Button_Round10_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round10_Bg.png,png
56,Button_Round10_Light,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Round10_Light.png,png
57,Button_SkillBtn_Blue,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_Blue.png,png
58,Button_SkillBtn_Dark,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_Dark.png,png
59,Button_SkillBtn_Orange,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_Orange.png,png
60,Button_SkillBtn_Red,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_Red.png,png
61,Button_SkillBtn_White_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_White_Bg.png,png
62,Button_SkillBtn_White_Light,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtn_White_Light.png,png
63,Button_SkillBtnMask,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_SkillBtnMask.png,png
64,Button_Tapered_White1,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Tapered_White1.png,png
65,Button_Tapered_White2,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Tapered_White2.png,png
66,Button_Tapered_White3,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Tapered_White3.png,png
67,Button_Tapered_Yellow,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Button_Tapered_Yellow.png,png
68,Menu_BottomBtn_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Menu_BottomBtn_Bg.png,png
69,Menu_BottomBtn_TabFocus,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Menu_BottomBtn_TabFocus.png,png
70,Menu_BottomBtn_TabFocus_Light,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Menu_BottomBtn_TabFocus_Light.png,png
71,Menu_MiddleBtn_Bg,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Menu_MiddleBtn_Bg.png,png
72,Menu_MiddleBtn_TabFocus,Components/Button,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Button/Menu_MiddleBtn_TabFocus.png,png
73,BannerFrame00_01~02_Bg,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_Bg.png,png
74,BannerFrame00_01~02_InnerBg,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_InnerBg.png,png
75,BannerFrame00_01~02_InnerLine,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_InnerLine.png,png
76,BannerFrame00_01~02_Light,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_Light.png,png
77,BannerFrame00_01~02_Pattern,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_Pattern.png,png
78,BannerFrame00_01~02_Pattern,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_01~02_Pattern.psd,psd
79,BannerFrame00_03_Bg,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_03_Bg.png,png
80,BannerFrame00_03_Border,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_03_Border.png,png
81,BannerFrame00_04~06_Bg,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_04~06_Bg.png,png
82,BannerFrame00_04~06_BgLight,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_04~06_BgLight.png,png
83,BannerFrame00_04~06_Border,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_04~06_Border.png,png
84,BannerFrame00_04~06_Pattern,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame00_04~06_Pattern.png,png
85,BannerFrame03_Demo,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame03_Demo.png,png
86,BannerFrame04_Demo,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame04_Demo.png,png
87,BannerFrame05_Demo,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame05_Demo.png,png
88,BannerFrame06_Demo__Gray,Components/Frame,Assets/ThirdParty/Layer Lab/GUI Pro-SuperCasual/ResourcesData/Sprites/Components/Frame/BannerFrame06_Demo__Gray.png,png
