runtime_key,asset_path,addressable_label,profile,use_case
"library.deadly.kombat.free.version.blade.hit.07","Assets/Deadly Kombat Free version/blade_hit_07.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"library.deadly.kombat.free.version.blade.hit.08","Assets/Deadly Kombat Free version/blade_hit_08.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"library.deadly.kombat.free.version.block.large.59","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/block_large_59.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.block.large.71","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.flesh.heavy","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D material impact"
"sfx.impact.fur.heavy","Assets/Deadly Kombat Free version/block_large_71.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.block.medium.09","Assets/Deadly Kombat Free version/block_medium_09.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_medium_09.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_medium_09.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_medium_09.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_medium_09.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.block.medium.25","Assets/Deadly Kombat Free version/block_medium_25.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_medium_25.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_medium_25.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_medium_25.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_medium_25.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.block.small.69","Assets/Deadly Kombat Free version/block_small_69.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_small_69.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_mage.hurt","Assets/Deadly Kombat Free version/block_small_69.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.creature.skeleton_small.hurt","Assets/Deadly Kombat Free version/block_small_69.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
"sfx.impact.bone.light","Assets/Deadly Kombat Free version/block_small_69.wav","zw-audio-world","impact","3D material impact"
"library.deadly.kombat.free.version.block.small.73","Assets/Deadly Kombat Free version/block_small_73.wav","zw-audio-world","impact","catalogued source; direct runtime use not required"
"sfx.creature.skeleton_giant.hurt","Assets/Deadly Kombat Free version/block_small_73.wav","zw-audio-world","impact","3D creature attack hurt death or movement"
