asset_path,clip_name,profile,status,reason,runtime_keys
"Assets/Deadly Kombat Free version/blade_hit_07.wav","blade_hit_07","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.blade.hit.07"
"Assets/Deadly Kombat Free version/blade_hit_08.wav","blade_hit_08","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.blade.hit.08"
"Assets/Deadly Kombat Free version/block_large_59.wav","block_large_59","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.large.59|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/block_large_71.wav","block_large_71","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.large.71|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/block_medium_09.wav","block_medium_09","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.medium.09|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light"
"Assets/Deadly Kombat Free version/block_medium_25.wav","block_medium_25","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.medium.25|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light"
"Assets/Deadly Kombat Free version/block_small_69.wav","block_small_69","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.small.69|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light"
"Assets/Deadly Kombat Free version/block_small_73.wav","block_small_73","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.block.small.73|sfx.creature.skeleton_giant.hurt|sfx.creature.skeleton_mage.hurt|sfx.creature.skeleton_small.hurt|sfx.impact.bone.light"
"Assets/Deadly Kombat Free version/body_hit_finisher_23.wav","body_hit_finisher_23","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.finisher.23|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_finisher_27.wav","body_hit_finisher_27","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.finisher.27|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_finisher_42.wav","body_hit_finisher_42","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.finisher.42|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_finisher_52.wav","body_hit_finisher_52","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.finisher.52|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_large_32.wav","body_hit_large_32","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.large.32|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_large_44.wav","body_hit_large_44","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.large.44|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
"Assets/Deadly Kombat Free version/body_hit_large_76.wav","body_hit_large_76","impact","ADDRESSABLE","runtime-mapped","library.deadly.kombat.free.version.body.hit.large.76|sfx.impact.flesh.heavy|sfx.impact.fur.heavy"
