weaponId,family,powerBudgetUsed,measuredBand,authoredTier,agrees,action
WD_Sidearm_PistolA,Sidearm,0.205,Common,Common,YES,keep
WD_Sidearm_Makarov,Sidearm,0.223,Common,Common,YES,keep
WD_Sidearm_Glock19,Sidearm,0.238,Common,Common,YES,keep
WD_Sidearm_P226,Sidearm,0.252,Common,Common,YES,keep
WD_Shotgun_DoubleBarrel,Shotgun,0.254,Common,Uncommon,NO,retier Uncommon->Common
WD_Shotgun_BenelliM4,Shotgun,0.257,Common,Common,YES,keep
WD_Sidearm_Python357,Sidearm,0.259,Common,Rare,NO,retier Rare->Common
WD_Sidearm_BerettaM9,Sidearm,0.271,Common,Common,YES,keep
WD_Sidearm_M1911,Sidearm,0.273,Common,Uncommon,NO,retier Uncommon->Common
WD_Sidearm_USP45,Sidearm,0.273,Common,Uncommon,NO,retier Uncommon->Common
WD_Sidearm_DesertEagle,Sidearm,0.290,Common,Rare,NO,retier Rare->Common
WD_Shotgun_Mossberg500,Shotgun,0.300,Common,Uncommon,NO,retier Uncommon->Common
WD_Sidearm_FiveSeven,Sidearm,0.328,Common,Uncommon,NO,retier Uncommon->Common
WD_SMG_Generic,SMG,0.355,Uncommon,Common,NO,retier Common->Uncommon
WD_Marksman_SniperGeneric,Marksman,0.388,Uncommon,Common,NO,retier Common->Uncommon
WD_Shotgun_SPAS12,Shotgun,0.426,Uncommon,Rare,NO,retier Rare->Uncommon
WD_AssaultRifle_Generic,AssaultRifle,0.465,Uncommon,Common,NO,retier Common->Uncommon
WD_LMG_Generic,LMG,0.488,Uncommon,Common,NO,retier Common->Uncommon
WD_AssaultRifle_AK47,AssaultRifle,0.535,Rare,Uncommon,NO,retier Uncommon->Rare
WD_AssaultRifle_M4A1,AssaultRifle,0.543,Rare,Uncommon,NO,retier Uncommon->Rare
WD_Shotgun_AA12,Shotgun,0.595,Rare,Epic,NO,retier Epic->Rare
WD_AssaultRifle_SCARL,AssaultRifle,0.622,Rare,Rare,YES,keep
WD_AssaultRifle_FAMAS,AssaultRifle,0.686,Epic,Rare,NO,retier Rare->Epic
WD_AssaultRifle_G36C,AssaultRifle,0.745,Epic,Epic,YES,keep
