sourceAssetPath,sourcePack,observedModelIdentity,bucket,reason,proposedWeaponFamily,handedness,likelyFireMode,visualDistinctness,variantGroup,materialCount,rendererCount,geometryEstimate,boundsX,boundsY,boundsZ,longestAxis,gripAvailability,muzzleAvailability,toonCompatibility,shaders,recommendedDisposition,evidenceReference
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_A.prefab,PistolPack1,Rail_Pistol_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,140,0.025,0.01,0.057,0.057,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_B.prefab,PistolPack1,Rail_Pistol_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,140,0.025,0.01,0.057,0.057,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_A.prefab,PistolPack1,Laser_Pistol_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,548,0.032,0.038,0.085,0.085,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_B.prefab,PistolPack1,Laser_Pistol_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,756,0.043,0.051,0.088,0.088,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_A.prefab,PistolPack1,Light_Pistol_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,584,0.036,0.047,0.165,0.165,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_B.prefab,PistolPack1,Light_Pistol_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,544,0.039,0.048,0.108,0.108,none-authored,none-authored,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_A.prefab,PistolPack1,Muzzle_Pistol_Brake_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,1060,0.028,0.033,0.069,0.069,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_B.prefab,PistolPack1,Muzzle_Pistol_Brake_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,632,0.028,0.041,0.058,0.058,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Device.prefab,PistolPack1,Muzzle_Pistol_Device,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,212,0.022,0.025,0.032,0.032,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_A.prefab,PistolPack1,Muzzle_Pistol_Flash Hider_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,416,0.028,0.033,0.075,0.075,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_B.prefab,PistolPack1,Muzzle_Pistol_Flash Hider_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,560,0.025,0.029,0.065,0.065,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_A.prefab,PistolPack1,Muzzle_Pistol_Suppressor_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,2144,0.028,0.03,0.178,0.178,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_B.prefab,PistolPack1,Muzzle_Pistol_Suppressor_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,594,0.03,0.045,0.21,0.21,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_C.prefab,PistolPack1,Muzzle_Pistol_Suppressor_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,1,1,288,0.039,0.039,0.189,0.189,none-authored,child-hit:1,toon,StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_A.prefab,PistolPack1,Optic_Pistol_A,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,760,0.035,0.05,0.059,0.059,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_B.prefab,PistolPack1,Optic_Pistol_B,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,832,0.041,0.082,0.089,0.089,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_C.prefab,PistolPack1,Optic_Pistol_C,AttachmentOrPart,attachment module (optic/muzzle/grip/rail/light/mag),,,,,,2,2,516,0.035,0.053,0.061,0.061,none-authored,none-authored,toon,StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit,,Evidence/ + _raw_prefab_scan.tsv
