pack	path	name	renderers	matSlots	distinctMats	shaders	tris	boundsX	boundsY	boundsZ	childCount	gripHits	muzzleHits	childSample
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_A.prefab	Rail_Pistol_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	140	0.025	0.010	0.057	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_B.prefab	Rail_Pistol_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	140	0.025	0.010	0.057	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_A.prefab	Laser_Pistol_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	548	0.032	0.038	0.085	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_B.prefab	Laser_Pistol_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	756	0.043	0.051	0.088	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_A.prefab	Light_Pistol_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	584	0.036	0.047	0.165	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_B.prefab	Light_Pistol_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	544	0.039	0.048	0.108	0	0	0	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_A.prefab	Muzzle_Pistol_Brake_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	1060	0.028	0.033	0.069	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_B.prefab	Muzzle_Pistol_Brake_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	632	0.028	0.041	0.058	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Device.prefab	Muzzle_Pistol_Device	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	212	0.022	0.025	0.032	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_A.prefab	Muzzle_Pistol_Flash Hider_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	416	0.028	0.033	0.075	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_B.prefab	Muzzle_Pistol_Flash Hider_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	560	0.025	0.029	0.065	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_A.prefab	Muzzle_Pistol_Suppressor_A	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	2144	0.028	0.030	0.178	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_B.prefab	Muzzle_Pistol_Suppressor_B	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	594	0.030	0.045	0.210	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_C.prefab	Muzzle_Pistol_Suppressor_C	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	288	0.039	0.039	0.189	0	0	1	
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_A.prefab	Optic_Pistol_A	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	760	0.035	0.050	0.059	1	0	0	Optic_Pistol_A_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_B.prefab	Optic_Pistol_B	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	832	0.041	0.082	0.089	1	0	0	Optic_Pistol_B_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_C.prefab	Optic_Pistol_C	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	516	0.035	0.053	0.061	1	0	0	Optic_Pistol_C_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_D.prefab	Optic_Pistol_D	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	736	0.039	0.052	0.056	1	0	0	Optic_Pistol_D_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_E.prefab	Optic_Pistol_E	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	606	0.045	0.045	0.051	1	0	0	Optic_Pistol_E_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Optics/Optic_Pistol_F.prefab	Optic_Pistol_F	2	2	2	StylizedToonWorldKit/Surface/Glass|StylizedToonWorldKit/Toon/Toon Lit	1764	0.042	0.082	0.250	1	0	0	Optic_Pistol_F_Lens
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_A.prefab	Bullet_Pistol_A	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	148	0.012	0.013	0.032	1	0	0	Bullet_Pistol_A_Part
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_B.prefab	Bullet_Pistol_B	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	196	0.012	0.013	0.032	1	0	0	Bullet_Pistol_B_Part
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_C.prefab	Bullet_Pistol_C	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	172	0.012	0.013	0.033	1	0	0	Bullet_Pistol_C_Part
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Bullets/Bullet_Pistol_D.prefab	Bullet_Pistol_D	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	184	0.012	0.013	0.032	1	0	0	Bullet_Pistol_D_Part
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_A.prefab	Pistol_A	6	6	1	StylizedToonWorldKit/Toon/Toon Lit	3120	0.050	0.215	0.386	9	2	1	Pistol_A_Barrel,Pistol_A_BarrelGuard,Pistol_A_Bolt,Pistol_A_Mag,Pistol_A_Receiver,Pistol_A_Trigger
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_B.prefab	Pistol_B	5	5	1	StylizedToonWorldKit/Toon/Toon Lit	2516	0.036	0.176	0.355	8	2	1	Pistol_B_Barrel,Pistol_B_BarrelGuard,Pistol_B_Mag,Pistol_B_Receiver,Pistol_B_Trigger,MuzzlePoint
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_C.prefab	Pistol_C	6	6	1	StylizedToonWorldKit/Toon/Toon Lit	2330	0.037	0.169	0.348	9	2	1	Pistol_C_Barrel,Pistol_C_BarrelGuard,Pistol_C_Bolt,Pistol_C_Mag,Pistol_C_Receiver,Pistol_C_Trigger
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_D.prefab	Pistol_D	6	6	1	StylizedToonWorldKit/Toon/Toon Lit	3092	0.041	0.166	0.353	9	2	1	Pistol_D_Barrel,Pistol_D_Bolt,Pistol_D_Mag,Pistol_D_Receiver,Pistol_D_Receiver_Part,Pistol_D_Trigger
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_E.prefab	Pistol_E	6	6	1	StylizedToonWorldKit/Toon/Toon Lit	2680	0.036	0.171	0.315	9	2	1	Pistol_E_Barrel,Pistol_E_BarrelGuard,Pistol_E_Bolt,Pistol_E_Mag,Pistol_E_Receiver,Pistol_E_Trigger
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_F.prefab	Pistol_F	7	7	1	StylizedToonWorldKit/Toon/Toon Lit	3482	0.039	0.249	0.263	10	2	1	Pistol_F_Barrel,Pistol_F_BarrelGuard,Pistol_F_BarrelGuard.001,Pistol_F_Bolt,Pistol_F_Mag,Pistol_F_Receiver
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_G.prefab	Pistol_G	8	8	1	StylizedToonWorldKit/Toon/Toon Lit	3532	0.051	0.148	0.193	11	3	1	Pistol_G_Barrel,Pistol_G_BarrelGuard,Pistol_G_Bolt,Pistol_G_Grip,Pistol_G_Receiver,Pistol_G_Receiver_Part
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_H.prefab	Pistol_H	6	6	1	StylizedToonWorldKit/Toon/Toon Lit	2942	0.038	0.246	0.268	9	2	1	Pistol_H_Barrel,Pistol_H_BarrelGuard,Pistol_H_Mag,Pistol_H_Receiver,Pistol_H_Sight,Pistol_H_Trigger
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_I.prefab	Pistol_I	7	7	1	StylizedToonWorldKit/Toon/Toon Lit	2958	0.043	0.254	0.290	10	2	1	Pistol_I_Barrel,Pistol_I_BarrelGuard,Pistol_I_Bolt,Pistol_I_Mag,Pistol_I_Receiver,Pistol_I_Sight
PistolPack1	Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_J.prefab	Pistol_J	7	7	1	StylizedToonWorldKit/Toon/Toon Lit	2874	0.039	0.270	0.292	10	2	1	Pistol_J_Barrel,Pistol_J_BarrelGuard,Pistol_J_Bolt,Pistol_J_Mag,Pistol_J_Receiver,Pistol_J_Sight
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Down.prefab	Rail_A_Down	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	184	0.033	0.012	0.138	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Left.prefab	Rail_A_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	184	0.012	0.033	0.138	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Right.prefab	Rail_A_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	184	0.012	0.033	0.138	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_A/Rail_A_Up.prefab	Rail_A_Up	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	184	0.033	0.012	0.138	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_A_Left.prefab	Laser_A_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	346	0.039	0.065	0.127	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_A_Right.prefab	Laser_A_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	346	0.039	0.065	0.127	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_B_Left.prefab	Laser_B_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	544	0.039	0.070	0.133	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_B_Right.prefab	Laser_B_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	544	0.039	0.070	0.133	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_C_Left.prefab	Laser_C_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	718	0.034	0.078	0.101	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_C_Right.prefab	Laser_C_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	718	0.034	0.078	0.101	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_D_Left.prefab	Laser_D_Left	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	796	0.041	0.075	0.125	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_D_Right.prefab	Laser_D_Right	1	1	1	StylizedToonWorldKit/Toon/Toon Lit	796	0.041	0.075	0.125	0	0	0	
ShotgunPack1	Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_A_Left.prefab	Light_A_Left	2	2	1	StylizedToonWorldKit/Toon/Toon Lit	520	0.056	0.049	0.187	1	0	0	Light_A_Left_Part
