weaponId,family,tier,damage,fireRate,range,pellets,pierce,rawDps,crowdDps,singleTargetDps,rangeScore,controlScore,mobilityScore,powerBudgetUsed
WD_Sidearm_PistolA,Sidearm,Common,12,4.0,8.0,1,0,48.0,48.0,45.6,0.5,0.0,0.25,0.205
WD_Sidearm_Makarov,Sidearm,Common,11,5.0,7.5,1,0,55.0,55.0,52.2,0.47,0.0,0.25,0.223
WD_Sidearm_Glock19,Sidearm,Common,12,5.0,7.5,1,0,60.0,60.0,57.0,0.47,0.0,0.25,0.238
WD_Sidearm_P226,Sidearm,Common,13,5.0,7.5,1,0,65.0,65.0,61.8,0.47,0.0,0.25,0.252
WD_Sidearm_Python357,Sidearm,Rare,24,2.8,7.5,1,0,67.2,67.2,63.8,0.47,0.0,0.25,0.259
WD_Sidearm_BerettaM9,Sidearm,Common,13,5.5,7.5,1,0,71.5,71.5,67.9,0.47,0.0,0.25,0.271
WD_Sidearm_M1911,Sidearm,Uncommon,16,4.5,7.5,1,0,72.0,72.0,68.4,0.47,0.0,0.25,0.273
WD_Sidearm_USP45,Sidearm,Uncommon,16,4.5,7.5,1,0,72.0,72.0,68.4,0.47,0.0,0.25,0.273
WD_Sidearm_DesertEagle,Sidearm,Rare,26,3.0,7.5,1,0,78.0,78.0,74.1,0.47,0.0,0.25,0.29
WD_Sidearm_FiveSeven,Sidearm,Uncommon,14,6.5,7.5,1,0,91.0,91.0,86.5,0.47,0.0,0.25,0.328
WD_SMG_Generic,SMG,Common,8,14.0,5.8,1,0,112.0,112.0,106.4,0.36,0.0,0.0,0.355
WD_AssaultRifle_Generic,AssaultRifle,Common,16,9.0,9.0,1,0,144.0,144.0,136.8,0.56,0.0,0.0,0.465
WD_AssaultRifle_AK47,AssaultRifle,Uncommon,21,8.0,9.0,1,0,168.0,168.0,159.6,0.56,0.0,0.0,0.535
WD_AssaultRifle_M4A1,AssaultRifle,Uncommon,18,9.5,9.0,1,0,171.0,171.0,162.4,0.56,0.0,0.0,0.543
WD_AssaultRifle_SCARL,AssaultRifle,Rare,22,9.0,9.0,1,0,198.0,198.0,188.1,0.56,0.0,0.0,0.622
WD_AssaultRifle_FAMAS,AssaultRifle,Rare,20,11.0,9.0,1,0,220.0,220.0,209.0,0.56,0.0,0.0,0.686
WD_AssaultRifle_G36C,AssaultRifle,Epic,24,10.0,9.0,1,0,240.0,240.0,228.0,0.56,0.0,0.0,0.745
WD_Shotgun_DoubleBarrel,Shotgun,Uncommon,11,0.75,5.5,8,0,66.0,75.9,50.5,0.34,0.4,0.0,0.254
WD_Shotgun_BenelliM4,Shotgun,Common,7,1.2,5.5,8,0,67.2,77.3,51.4,0.34,0.4,0.0,0.257
WD_Shotgun_Mossberg500,Shotgun,Uncommon,8,1.3,5.5,8,0,83.2,95.7,63.6,0.34,0.4,0.0,0.3
WD_Shotgun_SPAS12,Shotgun,Rare,9,1.8,5.5,8,0,129.6,149.0,99.1,0.34,0.4,0.0,0.426
WD_Shotgun_AA12,Shotgun,Epic,8,3.0,5.5,8,0,192.0,220.8,146.9,0.34,0.4,0.0,0.595
WD_Marksman_SniperGeneric,Marksman,Common,90,0.9,16.0,1,3,81.0,141.8,81.0,1.0,0.0,0.0,0.388
WD_LMG_Generic,LMG,Common,13,11.0,9.5,1,0,143.0,143.0,135.8,0.59,0.2,-0.15,0.488
