weaponId,weaponName,twoHanded,view,slotRequested,slotActual,equipVerified,instanceId,handInFrame,vpX,vpY,vpZ,handToGripCm,armReachCm,shoulderToGripCm,outOfReach,muzzleInsideModel,pngSha,pngPath,note
weapon.sidearm.pistol_a,WD_Sidearm_PistolA,False,RightGrip,0,0,True,-166634,True,0.500,0.500,0.838,0.0,33.2,25.5,False,False,17DBADE322A3,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_PistolA__RightGrip.png,""
weapon.sidearm.pistol_a,WD_Sidearm_PistolA,False,Front,0,0,True,-166634,True,0.500,0.500,0.838,0.0,33.2,25.5,False,False,9ACED2BCD5EE,Review/M7_0_Factory/Evidence/Grip/WD_Sidearm_PistolA__Front.png,""
weapon.smg.generic,WD_SMG_Generic,False,RightGrip,0,0,True,-167204,True,0.500,0.500,0.660,0.0,33.2,31.1,False,False,94F80F5B08AB,Review/M7_0_Factory/Evidence/Grip/WD_SMG_Generic__RightGrip.png,""
weapon.smg.generic,WD_SMG_Generic,False,Front,0,0,True,-167204,True,0.500,0.500,0.660,0.0,33.2,31.1,False,False,617D9D821E19,Review/M7_0_Factory/Evidence/Grip/WD_SMG_Generic__Front.png,""
weapon.assault_rifle.generic,WD_AssaultRifle_Generic,True,RightGrip,1,1,True,-167270,True,0.500,0.500,1.530,0.0,33.2,22.4,False,False,1471761B7116,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_Generic__RightGrip.png,""
weapon.assault_rifle.generic,WD_AssaultRifle_Generic,True,LeftGrip,1,1,True,-167270,True,0.464,0.552,1.567,13.6,33.2,46.7,True,False,B1845D13D42C,Review/M7_0_Factory/Evidence/Grip/WD_AssaultRifle_Generic__LeftGrip.png,""
weapon.shotgun.generic,WD_Shotgun_Generic,True,RightGrip,1,1,True,-167358,True,0.500,0.500,1.813,0.0,33.2,22.5,False,False,B6CC5EC2DDF5,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_Generic__RightGrip.png,""
weapon.shotgun.generic,WD_Shotgun_Generic,True,LeftGrip,1,1,True,-167358,True,0.467,0.539,1.865,14.9,33.2,48.1,True,False,3DB842321533,Review/M7_0_Factory/Evidence/Grip/WD_Shotgun_Generic__LeftGrip.png,""
weapon.marksman.sniper_generic,WD_Marksman_SniperGeneric,True,RightGrip,1,1,True,-167446,True,0.500,0.500,1.528,0.0,33.2,26.9,False,False,80DDCD317059,Review/M7_0_Factory/Evidence/Grip/WD_Marksman_SniperGeneric__RightGrip.png,""
weapon.marksman.sniper_generic,WD_Marksman_SniperGeneric,True,LeftGrip,1,1,True,-167446,True,0.437,0.598,1.595,25.3,33.2,58.5,True,False,1A93C9080EDB,Review/M7_0_Factory/Evidence/Grip/WD_Marksman_SniperGeneric__LeftGrip.png,""
