weaponId,assetName,G1a_shader,G1b_notVendorOwned,G2_outline,G3_duplicate,G4_grip,G6_tris,G7_silhouette,G8_colour,blockingFailures,notes
weapon.sidearm.pistol_a,WD_Sidearm_PistolA,True,True,True,True,True,3120,True,False,0,"G8 no distinguishing colour"
weapon.smg.generic,WD_SMG_Generic,True,True,True,True,True,2744,True,False,0,"G8 no distinguishing colour"
weapon.assault_rifle.generic,WD_AssaultRifle_Generic,True,True,True,True,True,5130,True,False,0,"G8 no distinguishing colour"
weapon.shotgun.generic,WD_Shotgun_Generic,True,True,True,True,True,2133,True,False,0,"G8 no distinguishing colour"
weapon.marksman.sniper_generic,WD_Marksman_SniperGeneric,True,True,True,True,True,3836,True,False,0,"G8 no distinguishing colour"
weapon.lmg.generic,WD_LMG_Generic,True,True,True,True,True,11614,True,False,0,"G8 no distinguishing colour"
weapon.sidearm.glock_19,WD_Sidearm_Glock19,True,True,True,True,True,2516,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.p226,WD_Sidearm_P226,True,True,True,True,True,2330,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.m1911,WD_Sidearm_M1911,True,True,True,True,True,3092,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.beretta_m9,WD_Sidearm_BerettaM9,True,True,True,True,True,2680,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.usp_45,WD_Sidearm_USP45,True,True,True,True,True,3482,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.desert_eagle,WD_Sidearm_DesertEagle,True,True,True,True,True,3532,True,False,0,"G8 no distinguishing colour"
weapon.sidearm.five_seven,WD_Sidearm_FiveSeven,True,True,True,True,True,2942,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.makarov,WD_Sidearm_Makarov,True,True,True,True,True,2958,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.sidearm.python_357,WD_Sidearm_Python357,True,True,True,True,True,2874,False,False,0,"G7 proportions close to WD_Sidearm_PistolA; G8 no distinguishing colour"
weapon.shotgun.benelli_m4,WD_Shotgun_BenelliM4,True,True,True,False,True,2133,False,False,1,"G3 duplicate of WD_Shotgun_Generic; G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.shotgun.mossberg_500,WD_Shotgun_Mossberg500,True,True,True,True,True,2964,False,False,0,"G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.shotgun.spas_12,WD_Shotgun_SPAS12,True,True,True,True,True,4532,False,False,0,"G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.shotgun.double_barrel,WD_Shotgun_DoubleBarrel,True,True,True,True,True,2262,False,False,0,"G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.shotgun.aa_12,WD_Shotgun_AA12,True,True,True,True,True,4506,False,False,0,"G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
weapon.assault_rifle.m4a1,WD_AssaultRifle_M4A1,True,True,True,True,True,8104,True,False,0,"G8 no distinguishing colour"
weapon.assault_rifle.ak_47,WD_AssaultRifle_AK47,True,True,True,True,True,5620,False,False,0,"G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.assault_rifle.scar_l,WD_AssaultRifle_SCARL,True,True,True,True,True,7602,False,False,0,"G7 proportions close to WD_AssaultRifle_M4A1; G8 no distinguishing colour"
weapon.assault_rifle.famas,WD_AssaultRifle_FAMAS,True,True,True,True,True,3664,False,False,0,"G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.assault_rifle.g36c,WD_AssaultRifle_G36C,True,True,True,True,True,6348,False,False,0,"G7 proportions close to WD_AssaultRifle_Generic; G8 no distinguishing colour"
weapon.smg.pack_f,WD_SMG_PackF,True,True,True,True,False,6533,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.pack_g,WD_SMG_PackG,True,True,True,True,False,5926,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.pack_h,WD_SMG_PackH,True,True,True,True,False,4246,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.pack_i,WD_SMG_PackI,True,True,True,True,False,4994,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.pack_j,WD_SMG_PackJ,True,True,True,True,False,7256,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.vintage_b,WD_SMG_VintageB,True,True,True,True,False,4554,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.smg.modern_p,WD_SMG_ModernP,True,True,True,True,False,10510,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_SMG_Generic; G8 no distinguishing colour"
weapon.marksman.vintage_recon_b,WD_Marksman_VintageReconB,True,True,True,True,False,7434,True,False,1,"G4 grip/muzzle incomplete; G8 no distinguishing colour"
weapon.marksman.recon_p,WD_Marksman_ReconP,True,True,True,True,False,11700,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Marksman_SniperGeneric; G8 no distinguishing colour"
weapon.lmg.vintage_b,WD_LMG_VintageB,True,True,True,True,False,9466,True,False,1,"G4 grip/muzzle incomplete; G8 no distinguishing colour"
weapon.shotgun.pack_f,WD_Shotgun_PackF,True,True,True,True,False,7706,True,False,1,"G4 grip/muzzle incomplete; G8 no distinguishing colour"
weapon.shotgun.pack_g,WD_Shotgun_PackG,True,True,True,True,False,6822,False,False,1,"G4 grip/muzzle incomplete; G7 proportions close to WD_Shotgun_Generic; G8 no distinguishing colour"
