assetName,weaponId,catalogOrder,tier,price,unlockCost,weaponClass,twoHanded
WD_Sidearm_PistolA,weapon.sidearm.pistol_a,0,Common,0,0,Sidearm,False
WD_SMG_Generic,weapon.smg.generic,1,Common,0,0,SMG,False
WD_AssaultRifle_Generic,weapon.assault_rifle.generic,2,Common,0,0,AssaultRifle,True
WD_Shotgun_Generic,weapon.shotgun.generic,3,Common,0,0,Shotgun,True
WD_Marksman_SniperGeneric,weapon.marksman.sniper_generic,4,Common,0,0,Marksman,True
WD_LMG_Generic,weapon.lmg.generic,5,Common,0,0,LMG,True
WD_Sidearm_Glock19,weapon.sidearm.glock_19,6,Common,100,0,Sidearm,False
WD_Sidearm_P226,weapon.sidearm.p226,7,Common,150,0,Sidearm,False
WD_Sidearm_M1911,weapon.sidearm.m1911,8,Uncommon,250,0,Sidearm,False
WD_Sidearm_BerettaM9,weapon.sidearm.beretta_m9,9,Common,180,0,Sidearm,False
WD_Sidearm_USP45,weapon.sidearm.usp_45,10,Uncommon,300,0,Sidearm,False
WD_Sidearm_DesertEagle,weapon.sidearm.desert_eagle,11,Rare,700,0,Sidearm,False
WD_Sidearm_FiveSeven,weapon.sidearm.five_seven,12,Uncommon,350,0,Sidearm,False
WD_Sidearm_Makarov,weapon.sidearm.makarov,13,Common,80,0,Sidearm,False
WD_Sidearm_Python357,weapon.sidearm.python_357,14,Rare,650,0,Sidearm,False
WD_Shotgun_BenelliM4,weapon.shotgun.benelli_m4,15,Common,400,0,Shotgun,True
WD_Shotgun_Mossberg500,weapon.shotgun.mossberg_500,16,Uncommon,550,0,Shotgun,True
WD_Shotgun_SPAS12,weapon.shotgun.spas_12,17,Rare,900,0,Shotgun,True
WD_Shotgun_DoubleBarrel,weapon.shotgun.double_barrel,18,Uncommon,500,0,Shotgun,True
WD_Shotgun_AA12,weapon.shotgun.aa_12,19,Epic,1400,0,Shotgun,True
WD_AssaultRifle_M4A1,weapon.assault_rifle.m4a1,20,Uncommon,600,0,AssaultRifle,True
WD_AssaultRifle_AK47,weapon.assault_rifle.ak_47,21,Uncommon,650,0,AssaultRifle,True
WD_AssaultRifle_SCARL,weapon.assault_rifle.scar_l,22,Rare,1000,0,AssaultRifle,True
WD_AssaultRifle_FAMAS,weapon.assault_rifle.famas,23,Rare,950,0,AssaultRifle,True
WD_AssaultRifle_G36C,weapon.assault_rifle.g36c,24,Epic,1500,0,AssaultRifle,True
