path	pack	name	tris	bx	by	bz	renderers	mats	shaders	hasGrip
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/BarrelGuard_Lok_B.prefab	SeriesV4	BarrelGuard_Lok_B	694	0.0207	0.0300	0.1150	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Bolt_A.prefab	SeriesV4	Bolt_A	670	0.0812	0.0254	0.2256	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Bolt_B.prefab	SeriesV4	Bolt_B	1414	0.0949	0.0273	0.2256	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/ForwardGrip_AK.prefab	SeriesV4	ForwardGrip_AK	1220	0.0450	0.0780	0.1618	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/ForwardGrip_AL.prefab	SeriesV4	ForwardGrip_AL	1154	0.0495	0.0665	0.1181	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Muzzle_Recon_Brake_E.prefab	SeriesV4	Muzzle_Recon_Brake_E	752	0.1091	0.0475	0.1146	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Muzzle_Suppressor_M.prefab	SeriesV4	Muzzle_Suppressor_M	696	0.0650	0.0750	0.1750	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Optic_AS.prefab	SeriesV4	Optic_AS	3136	0.0575	0.0695	0.0513	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Attachments/Optic_Recon_V.prefab	SeriesV4	Optic_Recon_V	5640	0.0913	0.1265	0.3125	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Bullets/Bullet_G.prefab	SeriesV4	Bullet_G	304	0.0121	0.0140	0.0695	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Bullets/Bullet_G_2.prefab	SeriesV4	Bullet_G_2	304	0.0121	0.0140	0.0695	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Bullets/Bullet_Pistol_G.prefab	SeriesV4	Bullet_Pistol_G	352	0.0122	0.0140	0.0533	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Bullets/Bullet_ShotGun_G.prefab	SeriesV4	Bullet_ShotGun_G	356	0.0226	0.0261	0.0922	1	1	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Bullets/Grenade_E.prefab	SeriesV4	Grenade_E	524	0.0210	0.0243	0.1033	2	2	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Cases/AmmoCase_A.prefab	SeriesV4	AmmoCase_A	1716	0.5860	0.2458	0.2525	4	4	Standard	False
Assets/Low Poly Weapon Series V 4/Prefabs/Low Poly Series V 1/Cases/AttachmentCase_A.prefab	SeriesV4	AttachmentCase_A	1576	0.3850	0.1750	0.4150	2	2	Standard	False
