assetName,weaponId,family,twoHanded,catalogOrder,tier,authoringStatus,tris,longestAxis,prefabPath,vendorMats
WD_Sidearm_PistolA,weapon.sidearm.pistol_a,Sidearm,False,0,Common,Ready,3120,0.386,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_PistolA.prefab,6
WD_SMG_Generic,weapon.smg.generic,SMG,False,1,Uncommon,Ready,2744,0.372,Assets/_Project/Prefabs/Weapons/WPN_SMG_Generic.prefab,6
WD_AssaultRifle_Generic,weapon.assault_rifle.generic,AssaultRifle,True,2,Uncommon,Ready,5130,1.156,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_Generic.prefab,4
WD_Shotgun_Generic,weapon.shotgun.generic,Shotgun,True,3,Common,Ready,2133,1.465,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_Generic.prefab,3
WD_Marksman_SniperGeneric,weapon.marksman.sniper_generic,Marksman,True,4,Uncommon,Ready,3836,1.235,Assets/_Project/Prefabs/Weapons/WPN_Marksman_SniperGeneric.prefab,4
WD_LMG_Generic,weapon.lmg.generic,LMG,True,5,Uncommon,Ready,11614,1.292,Assets/_Project/Prefabs/Weapons/WPN_LMG_Generic.prefab,5
WD_Sidearm_Glock19,weapon.sidearm.glock_19,Sidearm,False,6,Common,Ready,2516,0.355,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Glock19.prefab,5
WD_Sidearm_P226,weapon.sidearm.p226,Sidearm,False,7,Common,Ready,2330,0.348,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_P226.prefab,6
WD_Sidearm_M1911,weapon.sidearm.m1911,Sidearm,False,8,Common,Ready,3092,0.353,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_M1911.prefab,6
WD_Sidearm_BerettaM9,weapon.sidearm.beretta_m9,Sidearm,False,9,Common,Ready,2680,0.315,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_BerettaM9.prefab,6
WD_Sidearm_USP45,weapon.sidearm.usp_45,Sidearm,False,10,Common,Ready,3482,0.263,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_USP45.prefab,7
WD_Sidearm_DesertEagle,weapon.sidearm.desert_eagle,Sidearm,False,11,Common,Ready,3532,0.193,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_DesertEagle.prefab,8
WD_Sidearm_FiveSeven,weapon.sidearm.five_seven,Sidearm,False,12,Common,Ready,2942,0.268,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_FiveSeven.prefab,6
WD_Sidearm_Makarov,weapon.sidearm.makarov,Sidearm,False,13,Common,Ready,2958,0.290,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Makarov.prefab,7
WD_Sidearm_Python357,weapon.sidearm.python_357,Sidearm,False,14,Common,Ready,2874,0.292,Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Python357.prefab,7
WD_Shotgun_BenelliM4,weapon.shotgun.benelli_m4,Shotgun,True,15,Common,Ready,2133,1.465,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_BenelliM4.prefab,3
WD_Shotgun_Mossberg500,weapon.shotgun.mossberg_500,Shotgun,True,16,Common,Ready,2964,0.626,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_Mossberg500.prefab,9
WD_Shotgun_SPAS12,weapon.shotgun.spas_12,Shotgun,True,17,Uncommon,Ready,4532,0.595,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_SPAS12.prefab,12
WD_Shotgun_DoubleBarrel,weapon.shotgun.double_barrel,Shotgun,True,18,Common,Ready,2262,1.162,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_DoubleBarrel.prefab,6
WD_Shotgun_AA12,weapon.shotgun.aa_12,Shotgun,True,19,Rare,Ready,4506,0.867,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_AA12.prefab,10
WD_AssaultRifle_M4A1,weapon.assault_rifle.m4a1,AssaultRifle,True,20,Rare,Ready,8104,0.629,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_M4A1.prefab,12
WD_AssaultRifle_AK47,weapon.assault_rifle.ak_47,AssaultRifle,True,21,Rare,Ready,5620,0.537,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_AK47.prefab,9
WD_AssaultRifle_SCARL,weapon.assault_rifle.scar_l,AssaultRifle,True,22,Rare,Ready,7602,0.636,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_SCARL.prefab,13
WD_AssaultRifle_FAMAS,weapon.assault_rifle.famas,AssaultRifle,True,23,Epic,Ready,3664,0.862,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_FAMAS.prefab,6
WD_AssaultRifle_G36C,weapon.assault_rifle.g36c,AssaultRifle,True,24,Epic,Ready,6348,0.605,Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_G36C.prefab,12
WD_SMG_PackF,weapon.smg.pack_f,SMG,False,25,Common,PendingOwnerAuthoring,6533,0.533,Assets/_Project/Prefabs/Weapons/WPN_SMG_PackF.prefab,0
WD_SMG_PackG,weapon.smg.pack_g,SMG,False,26,Common,PendingOwnerAuthoring,5926,0.596,Assets/_Project/Prefabs/Weapons/WPN_SMG_PackG.prefab,0
WD_SMG_PackH,weapon.smg.pack_h,SMG,False,27,Common,PendingOwnerAuthoring,4246,0.550,Assets/_Project/Prefabs/Weapons/WPN_SMG_PackH.prefab,0
WD_SMG_PackI,weapon.smg.pack_i,SMG,False,28,Common,PendingOwnerAuthoring,4994,0.710,Assets/_Project/Prefabs/Weapons/WPN_SMG_PackI.prefab,0
WD_SMG_PackJ,weapon.smg.pack_j,SMG,False,29,Common,PendingOwnerAuthoring,7256,0.525,Assets/_Project/Prefabs/Weapons/WPN_SMG_PackJ.prefab,0
WD_SMG_VintageB,weapon.smg.vintage_b,SMG,False,30,Common,PendingOwnerAuthoring,4554,0.503,Assets/_Project/Prefabs/Weapons/WPN_SMG_VintageB.prefab,0
WD_SMG_ModernP,weapon.smg.modern_p,SMG,False,31,Common,PendingOwnerAuthoring,10510,0.593,Assets/_Project/Prefabs/Weapons/WPN_SMG_ModernP.prefab,0
WD_Marksman_VintageReconB,weapon.marksman.vintage_recon_b,Marksman,True,32,Common,PendingOwnerAuthoring,7434,1.358,Assets/_Project/Prefabs/Weapons/WPN_Marksman_VintageReconB.prefab,0
WD_Marksman_ReconP,weapon.marksman.recon_p,Marksman,True,33,Common,PendingOwnerAuthoring,11700,0.889,Assets/_Project/Prefabs/Weapons/WPN_Marksman_ReconP.prefab,0
WD_LMG_VintageB,weapon.lmg.vintage_b,LMG,True,34,Common,PendingOwnerAuthoring,9466,0.758,Assets/_Project/Prefabs/Weapons/WPN_LMG_VintageB.prefab,0
WD_Shotgun_PackF,weapon.shotgun.pack_f,Shotgun,True,35,Common,PendingOwnerAuthoring,7706,0.569,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_PackF.prefab,0
WD_Shotgun_PackG,weapon.shotgun.pack_g,Shotgun,True,36,Common,PendingOwnerAuthoring,6822,0.534,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_PackG.prefab,0
WD_Shotgun_PackH,weapon.shotgun.pack_h,Shotgun,True,37,Common,PendingOwnerAuthoring,6648,0.584,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_PackH.prefab,0
WD_Shotgun_PackI,weapon.shotgun.pack_i,Shotgun,True,38,Common,PendingOwnerAuthoring,8498,0.556,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_PackI.prefab,0
WD_Shotgun_PackJ,weapon.shotgun.pack_j,Shotgun,True,39,Common,PendingOwnerAuthoring,6636,0.619,Assets/_Project/Prefabs/Weapons/WPN_Shotgun_PackJ.prefab,0
